"section","in_resume","title","loc","institution","start","end","description_1","description_2","description_3"
"education","TRUE","PhD. Candidate, Biostatistics","Vanderbilt University","Nashville, TN","2015","2020","Working on Bayesian network models & interactive visualization platforms","University Graduate Fellow",""
"education","TRUE","B.S., Mathematics, Statistics (minor C.S.)","University of Vermont","Burlington, VT","2011","2015","Thesis: An agent based model of Diel Vertical Migration patterns of Mysis diluviana","NA",""
"research_positions","FALSE","Research Assistant","Adair Laboratory","University of Vermont","2012","2013","Independently analyzed and constructed statistical models for large data sets pertaining to carbon decomposition rates.","NA","NA"
"research_positions","FALSE","Undergraduate Researcher","Bentil Laboratory","University of Vermont","2013","2014","Developed mathematical model to predict the transport of sulfur through the environment with applications in waste cleanup.","NA","NA"
"research_positions","FALSE","Undergraduate Researcher","Rubenstein Ecosystems Science Laboratory","University of Vermont","2013","2015","Analyzed and visualized data for CATOS fish tracking project.","Head of data mining project to establish temporal trends in population densities of Mysis diluviana (Mysis).","Ran project to mathematically model the migration patterns of Mysis (honors thesis project.)"
"research_positions","FALSE","Human Computer Interaction Researcher","LabInTheWild (Reineke Lab)","University of Michigan","2015","2015","Led development and implementation of interactive data visualizations to help users compare themselves to other demographics.","NA","NA"
"research_positions","TRUE","Graduate Research Assistant","TBILab (Yaomin Xu's Lab)","Vanderbilt University","2015","2020","Primarily working with large EHR and Biobank datasets.","Developing network-based methods to investigate and visualize clinically relevant patterns in data.","NA"
"research_positions","TRUE","Data Science Researcher","Data Science Lab","Johns Hopkins University","2017","2018","Building R Shiny applications in the contexts of wearables and statistics education.","Work primarily done in R Shiny and Javascript (node and d3js).","NA"
"industry_positions","FALSE","Software Engineering Intern","Conduce","Carpinteria, CA","2014","2014","Incorporated d3.js to the company's main software platform.","NA","NA"
"industry_positions","FALSE","Engineering Intern - User Experience","Dealer.com","Burlington, VT","2015","2015","Built internal tool to help analyze and visualize user interaction with back-end products.","NA","NA"
"industry_positions","FALSE","Data Science Intern","Dealer.com","Burlington, VT","2015","2015","Worked with the product analytics team to help parse and visualize large stores of data to drive business decisions.","NA","NA"
"industry_positions","FALSE","Data Artist In Residence","Conduce","Carpinteria, CA","2014","2015","Envisioned, prototyped and implemented visualization framework in the course of one month.","Constructed training protocol for bringing third parties up to speed with new protocol.","NA"
"industry_positions","TRUE","Data Journalist - Graphics Department","New York Times","New York, New York","2016","2016","Reporter with the graphics desk covering topics in science, politics, and sport.","Work primarily done in R, Javascript, and Adobe Illustrator.",""
"teaching_positions","FALSE","Javascript for Shiny Users","RStudio::conf 2020","NA","NA","2020","Served as TA for two day workshop on how to leverage Javascript in Shiny applications","Lectured on [using R2D3 package to build interactive visualizations.](http://nickstrayer.me/js4shiny_r2d3/slides)",""
"teaching_positions","FALSE","Statistical Computing in R","Vanderbilt Biostatistics Department","Nashville, TN","2017","2017","TA and lectured","Covered introduction to R language for statistics applications","Graduate level class"
"teaching_positions","FALSE","Advanced Statistical Learning and Inference","Vanderbilt Biostatistics Department","Nashville, TN","2017","2018","TA and lectured","Topics covered from penalized regression to boosted trees and neural networks","Highest level course offered in department"
"teaching_positions","FALSE","Advanced Statistical Computing","Vanderbilt Biostatistics Department","Nashville, TN","2018","2018","TA and lectured","Covered modern statistical computing algorithms","4th year PhD level class"
"teaching_positions","FALSE","Data Visualization Best Practices","DataCamp","N/A","2019","2019","Designed from bottom up course to teach best practices for scientific visualizations.","Uses R and ggplot2.","In top 10% on platform by popularity."
"teaching_positions","FALSE","Improving your visualization in Python","DataCamp","N/A","2019","2019","Designed from bottom up course to teach advanced methods for enhancing visualization.","Uses python, matplotlib, and seaborn.","NA"
"data_science_writings","FALSE","[Classifying physical activity from smartphone data](https://blogs.rstudio.com/tensorflow/posts/2018-07-17-activity-detection/)","RStudio Tensorflow Blog","NA","NA","2018","Walk through of training a convolutional neural network to achieve state of the art recognition of activities from accelerometer data.","Contracted article.","NA"
